Name,Unique,Type,Cost,Mission/DilemmaType,Span,Points,Quadrant,Affiliation,Icons,Staff,Keywords,Class,Species,Skills,Integrity/Range,Cunning/Weapons,Strength/Shields,Text
Odo Curzon Odo,Y,Personnel,4,,,,,Bajoran,[Cmd][DS9],,Host. Shape-shifter.,,Changeling,Anthropology Diplomacy 2 Law Security,6,6,6,This personnel is Cunning +1 for each Diplomacy personnel in your discard pile (limit +4). This personnel is Strength +1 for each Security personnel in your discard pile (limit +4).
Yarka Harbinger of the Prophets,Y,Personnel,2,,,,,Bajoran,,,,,Bajoran,Anthropology Archaeology Physics,4,5,4,"While each of your non-headquarters missions is a [Baj] mission, each of your Bajorans present is attributes +1."
Annexation Drone,N,Personnel,3,,,,,Borg,[Stf],,Drone.,,Borg,Geology Navigation Physics Transporters,5,5,5,"When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, score 5 points. When you lose command of this personnel, remove it from the game."
Requisitions Drone,N,Personnel,2,,,,,Borg,[Stf],,Drone.,,Borg,Archaeology Astrometrics Physics Science,5,5,5,"When you play this personnel, you may examine the top four cards of your deck and take one into hand. Place the remaining cards on the bottom of your deck in any order."
"Enabran Tain ""Retired"" Spymaster",Y,Personnel,3,,,,,Cardassian,[Cmd],,,,Cardassian,Anthropology 2 Intelligence Security 2 Treachery,2,7,3,"When you play this personnel, if each of your non-headquarters missions requires Intelligence, you may draw up to seven cards, then discard two cards from hand."
Goran,N,Personnel,2,,,,,Cardassian,[Cmd],,Infiltrator.,,Cardassian,Biology Intelligence Medical Transporters,6,6,6,"When you play this personnel, you may discard an equipment or event card from hand to make this personnel cost -2."
Gelnon Aloof Tactician,Y,Personnel,3,,,,,Dominion,[Cmd],,,,Vorta,Archaeology Law Leadership Science Treachery,4,6,4,"When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, you may download a Jem'Hadar and place it aboard your [Dom] ship."
Ixtana'Rax Honored Elder,Y,Personnel,2,,,,,Dominion,[Cmd],,,,Jem'Hadar,Anthropology Astrometrics Honor Leadership Navigation Officer,6,6,8,"When this personnel uses one of his skills to complete a mission, he is killed."
Lamat'Ukan Resourceful Third,Y,Personnel,3,,,,,Dominion,[Stf],,Alpha.,,Jem'Hadar,Programming Security Transporters,6,5,7,"When an engagement you began ends, you may unstop each of your personnel and ships involved and restore all Range those ships have used this turn. You cannot begin any other engagements this turn."
Jean-Luc Picard Vintner,Y,Personnel,2,,,,,Federation,[Stf][TNG][Fut],,,,Human,Archaeology Biology Diplomacy Science,6,5,3,"When you play this personnel, if each of your non-headquarters missions requires Biology, you may download up to three [TNG] personnel."
Kira Nerys Starfleet Emissary,Y,Personnel,2,,,,,Federation,[Cmd][DS9],,,,Bajoran,Leadership Officer Security,6,6,6,"You may play this personnel at [HQ]{Bajor} or [HQ]{Cardassia Prime}. While this personnel is facing a dilemma, you may discard an event from hand to make a non-Bajoran personnel present attributes +2 until the end of that dilemma."
Santos Squad Leader,Y,Personnel,2,,,,,Federation,[Cmd][Maq],,,,Human,Leadership Medical Navigation Transporters,4,5,6,"While this personnel is attempting a mission, you may destroy your event to add that event's cost to this personnel's attributes until the end of that mission attempt."
Shankar Maquis Soldier,Y,Personnel,4,,,,,Federation,[Cmd][Maq],,,,Human,Archaeology Biology Geology Officer Treachery,4,6,6,"When you play this personnel, if you command at least three Region: Demilitarized Zone missions, you may make each opponent place his or her hand on the top of his or her deck in the order of his or her choice."
William T. Riker Wistful Admiral,Y,Personnel,2,,,,,Federation,[Cmd][TNG][Fut],,Admiral. Commander: U.S.S. Enterprise-D.,,Human,Leadership Navigation Officer Security,5,6,5,"While this personnel is attempting a space mission, he is attributes +1 and gains Diplomacy and Law."
Alexander Rozhenko K'mtar,Y,Personnel,4,,,,,Klingon,[Cmd][Fut],,High Council Member.,,Human/Klingon,2 Diplomacy Honor Programming Transporters,8,5,8,"When you play this personnel, if each of your non-headquarters missions requires Diplomacy, you may download up to two events, then play each of them at cost -3."
Worf Son of Mogh,Y,Personnel,2,,,,,Klingon,[Cmd],,,,Klingon,2 Honor Officer Physics 2 Security,8,5,8,"When you play this personnel, each opponent draws a card."
Jean-Luc Picard Galen,Y,Personnel,3,,,,,Non-Aligned,[Cmd],,Commander: Fortune. Thief.,,Human,Anthropology Archaeology Leadership Science,6,6,6,"While an artifact is in your discard pile, each of your {Smuggler} personnel and {Thief} personnel is attributes +1."
Vina Orion Slave Girl,Y,Personnel,2,,,,,Non-Aligned,[AU],,,,Orion,Honor,6,4,3,Order - This personnel gains any one skill of your choice. She keeps that skill until this order is executed again.
Deanna Troi Major Rakal,Y,Personnel,2,,,,,Romulan,[Cmd],,,,Betazoid/Human,Anthropology Telepathy,6,5,4,"While this personnel is present with a [Rom] Dissident, she is attributes +1 and gains Intelligence, Leadership and Security."
Mendak Duplicitous Admiral,Y,Personnel,3,,,,,Romulan,[Cmd],,Admiral. Commander: Devoras.,,Romulan,Exobiology Intelligence Leadership Officer Transporters Treachery,3,7,6,"While each of your non-headquarters missions is not a [Rom] mission, you may attempt each of them using your [Rom] personnel."
Kira Nerys The Intendant,Y,Personnel,3,,,,,Bajoran,[Cmd][AU],,,,Bajoran,Exobiology Intelligence Leadership Transporters 2 Treachery,2,6,5,Order - Remove a card in your discard pile from the game to download a copy of that card. You may do this only once each turn.
Kira Taban Husband and Father,Y,Personnel,2,,,,,Bajoran,[Stf][Pa],,Bajoran Resistance.,,Bajoran,Biology Honor Medical Physics,6,5,5,"When you play this personnel, if you have a lower score than each of your opponents, score 5 points."
Dukat Prefect of Bajor,Y,Personnel,3,,,,,Cardassian,[Cmd][Pa],,Gul.,,Cardassian,Diplomacy Exobiology Leadership Officer 2 Treachery,2,6,6,"When this personnel or a [Car] personnel present is about to be stopped by a dilemma, you may discard a non-[Car] personnel from hand to prevent that. You may do this only once each turn."
Elim Garak First Officer of Terok Nor,Y,Personnel,2,,,,,Cardassian,[Stf][AU],,,,Cardassian,Biology Officer Programming Security 2 Treachery,2,6,6,"When a personnel at this mission is about to be stopped by a dilemma, you may kill your captive to prevent that."
Borath Subconscious Projection,Y,Personnel,4,,,,,Dominion,[Cmd][AU],,Founder.,,Vorta,Diplomacy Leadership Medical Programming Treachery,4,6,4,"Order - Stop your Jem'Hadar present to reveal the top card of your deck and an opponent's deck. If they are the same card type, draw yours and discard the opponent's."
Founder Agitator Elusive Assassin,Y,Personnel,2,,,,,Dominion,[Stf],,Assassin. Founder. Infiltrator. Shape-shifter.,,Changeling,Physics Science Security 2 Treachery,2,6,6,Order - Return this personnel to his owner's hand to return one opponent's non-unique personnel present to his or her owner's hand for each headquarters mission that opponent commands.
James T. Kirk Living Legend,Y,Personnel,4,,,,,Federation,[Cmd][E][Pa],,,,Human,2 Honor Leadership,7,6,5,"While this personnel is facing a dilemma that has requirements you cannot meet, you may kill this personnel to prevent and overcome that dilemma."
Tasha Yar Tactical Officer,Y,Personnel,3,,,,,Federation,[Stf][TNG][AU],,,,Human,Engineer Honor Leadership Security,7,5,6,"While this personnel is attempting a mission, you may place her on top of her owner's deck to prevent one of your personnel present from being stopped by dilemmas until the end of this turn."
Worf First Officer,Y,Personnel,3,,,,,Federation,[Cmd][TNG][AU],,,,Klingon,Honor Leadership Navigation Officer,7,5,8,"While this personnel is facing a dilemma, you may discard two cards from hand to exchange a [TNG] personnel you own present with a [TNG] personnel who has the same cost from your hand."
Korath Duplicitous Tinkerer,Y,Personnel,3,,,,,Klingon,[Cmd][Fut],,High Council Member.,,Klingon,Diplomacy Engineer Leadership Physics,4,6,7,"When you are about to play a non-Hand Weapon equipment, you may play it at cost +2 and stop this personnel to destroy an opponent's event that has no cards on it."
Worf Regent of the Alliance,Y,Personnel,3,,,,,Klingon,[Cmd][AU],,Chancellor.,,Klingon,Biology Leadership Officer 2 Treachery,2,5,8,"While this personnel is facing a dilemma, you may discard a [Car] or [Kli] personnel from hand to make this personnel attributes +3 until the end of that dilemma."
Benjamin Sisko Outlaw,Y,Personnel,3,,,,,Non-Aligned,[Cmd][AU],,,,Human,Acquisition Anthropology Biology Leadership Navigation,5,5,6,"Order - Choose one for this personnel to gain: ""Honor personnel present are Cunning +1""; or ""Treachery personnel present are Cunning +1"". This effect lasts until this order is executed again."
Daniels Temporal Enforcer,Y,Personnel,3,,,,,Non-Aligned,[Stf][Fut],,,,Alien/Human,Anthropology Archaeology Engineer Intelligence Physics Security,6,6,6,"When this personnel is killed, shuffle him into his owner's deck."
"Miles O'Brien ""Smiley""",Y,Personnel,4,,,,,Non-Aligned,[Cmd][AU],,,,Human,Engineer Leadership Physics Transporters,5,6,6,"When you play a ship at this mission, if you have played no other ships this turn, it is cost -1 for each of your Engineer personnel at this mission."
The Traveler Transcendent Explorer,Y,Personnel,2,,,,,Non-Aligned,[Stf],,,,Alien,Anthropology Astrometrics Engineer Honor 2 Physics Science,6,8,3,"When this personnel is stopped by a dilemma, place him on the bottom of his owner's deck."
Tomalak Irate Commander,Y,Personnel,2,,,,,Romulan,[Cmd][AU],,Commander: Terix.,,Romulan,Diplomacy Exobiology Leadership Officer,4,6,7,"At the start of each of your turns, you may stop your [Rom] personnel present to reveal the top card of each player's deck."
Benjamin Sisko Shipwright,Y,Personnel,4,,,,,Bajoran,[Cmd][DS9],,Commander: Baraka.,,Human,Anthropology Astrometrics Engineer Honor Navigation,7,6,6,"While this personnel is aboard a [Baj] ship, it is Range +1."
Borg Queen Perfectionist,Y,Personnel,3,,,,,Borg,[Cmd],,Commander: Queen's Borg Cube.,,Borg,3 Leadership Treachery,3,8,6,"While this personnel is facing a dilemma, each personnel you command but do not own cannot be stopped."
Dukat True Cardassian,Y,Personnel,3,,,,,Cardassian,[Cmd],,Commander: Naprem.,,Cardassian,Leadership Navigation Officer Programming Security,4,6,6,"When an engagement involving this personnel ends, the ship he is aboard and each of your [Car] personnel aboard it are not stopped. You cannot begin any other engagements this turn."
Kudak'Etan Arrogant First,Y,Personnel,3,,,,,Dominion,[Cmd],,Alpha. Commander: U.S.S. Defiant.,,Jem'Hadar,Astrometrics Leadership Navigation Officer,5,5,8,Order - Discard a Vorta from hand to place this personnel and any number of your Jem'Hadar present aboard a ship at the same mission.
Data Commanding Officer,Y,Personnel,5,,,,,Federation,[Cmd][E],,Commander: U.S.S. Sutherland.,,Android,Engineer Leadership Officer Physics Programming,6,10,10,"Order - Discard a card from hand to name a card. When an opponent plays that card, score 5 points. This effect lasts until the start of your next turn. You may do this only once each turn."
Jean-Luc Picard Starship Captain,Y,Personnel,3,,,,,Federation,[Cmd][TNG],,Commander: U.S.S. Enterprise-D.,,Human,Diplomacy Honor Law Leadership Navigation Officer,8,6,6,"Order - This personnel loses Diplomacy, Law, and Navigation and gains Anthropology, Archaeology, and Science until the end of this turn. You may do this only once each turn."
Gowron Sole Leader of the Empire,Y,Personnel,3,,,,,Klingon,[Cmd],,Chancellor. Commander: I.K.S. Bortas.,,Klingon,Honor Law 2 Leadership Security,6,5,8,"When your Honor Klingon is about to be stopped or killed by a dilemma, you may discard a Treachery Klingon from hand to prevent that. You may do this only once each turn."
Arctus Baran Treasure Seeker,Y,Personnel,2,,,,,Non-Aligned,[Cmd],,Commander: Fortune. Smuggler. Thief.,,Alien,Archaeology Officer Security Treachery,2,5,6,"When this personnel uses a skill to complete a mission, you may download an Artifact card and place it in your core (if it is an event) or present with this personnel (if it is an equipment)."
Velal Reluctant Aggressor,Y,Personnel,2,,,,,Romulan,[Cmd],,Commander: Rovaran. General.,,Romulan,Archaeology Leadership Officer Security,5,6,6,"When the player on your right attempts this mission, if you command a Maneuver event, you may draw an extra dilemma and spend one extra in total cost on dilemmas."
Anneli,N,Personnel,1,,,,,Bajoran,[Stf][DS9],,,,Bajoran,Astrometrics Biology Science,5,5,5,"While you command an event in your core, this personnel is attributes +1."
Bareil Antos Opaka's Protector,Y,Personnel,4,,,,,Bajoran,,,Vedek.,,Bajoran,Anthropology Diplomacy 2 Honor Leadership Programming,8,6,5,"Order - Stop this personnel to download a card, then place that card in your discard pile."
Day Kannu Field Colonel,Y,Personnel,2,,,,,Bajoran,[Cmd][DS9],,,,Bajoran,Engineer Officer Security Treachery,3,5,6,"When you win combat involving this personnel, score 5 points."
Dukat Anjohl Tennan,Y,Personnel,2,,,,,Bajoran,[Cmd],,,,Cardassian,Anthropology Archaeology Diplomacy Programming 2 Treachery,2,6,6,"While this personnel is facing a dilemma, you may remove an Anthropology or Leadership personnel in your discard pile from the game to make this personnel attributes +1 until the end of this mission attempt."
Kira Meru Comfort Woman,Y,Personnel,1,,,,,Bajoran,[Pa],,,,Bajoran,Anthropology Exobiology Geology,5,5,5,"While this personnel is attempting a mission, you may lose 5 points to make her gain a skill on a [Baj] personnel in your discard pile until the end of that mission attempt."
Krim Thoughtful Tactician,Y,Personnel,2,,,,,Bajoran,[Cmd][DS9],,Commander: Talnot. General.,,Bajoran,Astrometrics Honor Leadership Officer,6,6,6,"Order - Lose 5 points and stop this personnel to name a dilemma. Choose an opponent to take each copy of that dilemma from his or her dilemma pile, place them beneath your completed mission, then shuffle and replace his or her dilemma pile face down."
Kulan Militia Soldier,Y,Personnel,2,,,,,Bajoran,[Stf],,Bajoran Resistance.,,Bajoran,Engineer Honor Navigation Transporters,6,5,5,"When you play this personnel, for each event in your discard pile, he is cost -1. While you have a Navigation personnel in your discard pile, this personnel gains Navigation."
Leeta Rebel Supporter,Y,Personnel,0,,,,,Bajoran,[TN],,Dabo Girl. Dissident.,,Bajoran,Anthropology Honor,6,5,4,"When you play this personnel, discard a card from hand. While you have more than ten cards in your discard pile, each of your Dissident personnel present is attributes +1."
Razka Karn Scavenger,Y,Personnel,2,,,,,Bajoran,[Stf],,Bajoran Resistance. Smuggler. Thief.,,Bajoran,Acquisition Archaeology Astrometrics Engineer Navigation,4,6,5,"While this personnel is facing a dilemma, you may discard an event from hand to replace his Integrity with the Integrity of a [Baj] personnel in your discard pile until the end of that dilemma."
Solbor Faithful Attendant,Y,Personnel,3,,,,,Bajoran,,,Prylar.,,Bajoran,Anthropology Exobiology Honor,7,5,3,"When you complete a mission involving this personnel, if your Kai, other Prylar, or Vedek used a skill to complete it, score 5 points."
Surmak Ren Medical Administrator,Y,Personnel,3,,,,,Bajoran,,,Bajoran Resistance.,,Bajoran,Biology Leadership Medical Programming Science,5,6,5,"When you play this personnel, each opponent discards a card from hand for each headquarters mission he or she commands."
Treyam Militia Soldier,Y,Personnel,2,,,,,Bajoran,[Stf],,Bajoran Resistance.,,Bajoran,Archaeology Medical Physics Programming,5,5,6,"When you play this personnel, for each event in your discard pile, he is cost -1. While you have a Medical personnel in your discard pile, this personnel gains Medical."
Defragmentation Drone,N,Personnel,1,,,,,Borg,[Stf],,Drone.,,Borg,Physics Security,5,5,5,Order - Destroy an event in your core to draw cards equal to that event's cost.
Examination Drone,N,Personnel,2,,,,,Borg,[Stf],,Drone.,,Borg,Anthropology Archaeology Astrometrics,5,5,5,"When you play this personnel, choose an opponent. You may draw a card for each headquarters mission he or she commands."
Facilitation Drone,N,Personnel,2,,,,,Borg,[Stf],,Drone.,,Borg,Biology Geology Medical Programming,5,5,5,"When you play this personnel, you may reveal up to three cards from the bottom of your deck. As your next action, you may play one of those cards as if it were in your hand. Those you do not play are placed in your discard pile."
Five of Twelve Secondary Adjunct of Trimatrix 942,Y,Personnel,3,,,,,Borg,[Stf],,Drone.,,Borg,Anthropology Biology Engineer Navigation Programming,5,6,6,"When you fail a mission attempt involving this personnel, he is not stopped."
Reconnaissance Drone,N,Personnel,3,,,,,Borg,[Stf],,Drone.,,Borg,Exobiology Navigation Security Transporters,5,5,5,"When you play this personnel, you may download a non-Drone personnel, then place that personnel on top of your deck."
Aamin Marritza Honorable Patriot,Y,Personnel,2,,,,,Cardassian,[Stf],,Dissident.,,Cardassian,2 Honor Programming,8,6,3,"While this personnel is attempting a mission, you may discard an event from hand to make him gain a skill of your choice that he does not already have until the end of that mission attempt. You may do this only once each turn."
Broca Grovelling Lackey,Y,Personnel,3,,,,,Cardassian,[Cmd],,Legate.,,Cardassian,Archaeology Engineer Officer Transporters Treachery,4,5,5,Order - Discard a card from hand and reveal an event from hand to download a copy of that event. You may do this only once each turn.
Hogue Student of Political Ethics,Y,Personnel,1,,,,,Cardassian,[Stf],,Dissident.,,Cardassian,Honor Leadership Navigation,6,5,5,Order - Discard the top card of your deck to make this personnel gain Science until the end of this turn. You may do this only once each turn.
Kira Nerys Iliana Ghemor,Y,Personnel,1,,,,,Cardassian,[Stf],,Dissident.,,Bajoran,Honor Programming Security,6,6,6,"Order - Lose 5 points and stop this personnel to download up to three [Car] Dissident personnel, then place them on a headquarters mission where they could be played."
Mila Trusted Confidante,Y,Personnel,2,,,,,Cardassian,,,Chef. Dissident.,,Cardassian,Biology Honor Intelligence Medical,7,5,3,"When an interrupt is played, you may kill this personnel to prevent that interrupt and place it in its owner's discard pile."
Odo Impartial Investigator,Y,Personnel,3,,,,,Cardassian,[Stf][Pa],,Shape-shifter.,,Changeling,Anthropology Exobiology Honor Law Security,6,6,8,"Order - If this personnel is at a non-headquarters mission, lose 5 points and stop him to place an opponent's non-Honor personnel present in your brig."
Rusot Proud Nationalist,Y,Personnel,2,,,,,Cardassian,[Cmd],,Dissident. Gul.,,Cardassian,Biology Geology Officer Treachery,4,5,6,"While you command more events in your core than each of your opponents, this personnel gains Leadership and Security."
Seskal Comrade in Arms,Y,Personnel,2,,,,,Cardassian,[Cmd],,Dissident. Glinn.,,Cardassian,Anthropology Astrometrics Officer Science,5,5,6,"While you command more events in your core than each of your opponents, this personnel cannot be stopped by dilemmas."
Toran Ambitious Brute,Y,Personnel,3,,,,,Cardassian,[Cmd],,Assassin. Gul.,,Cardassian,Astrometrics Diplomacy Officer Physics 2 Treachery,2,5,6,Order - Discard a personnel from hand and return this personnel to his owner's hand to kill an opponent's personnel present who has a skill that discarded personnel has.
Amar'itak,N,Personnel,2,,,,,Dominion,[Stf],,,,Jem'Hadar,Exobiology Geology Security,6,5,8,"When you play this personnel, if you command a Vorta, choose an opponent. You may draw a card for each headquarters mission he or she commands."
Founder Architect,N,Personnel,2,,,,,Dominion,,,Founder. Shape-shifter.,,Changeling,Astrometrics Law,5,5,5,"While this personnel is attempting a mission, he is attributes +1 for each event in each player's core (limit +5)."
Leyton Founder Hostile Operative,Y,Personnel,3,,,,,Dominion,[Cmd],,Founder. Infiltrator. Shape-shifter.,,Changeling,Biology Intelligence Leadership Officer Security Treachery,3,6,5,"When you are about to play an Infiltration event, if this personnel is at an opponent's mission, that event is cost -1."
