Name,Cost,Mission/DilemmaType,Text
A Living Death,2,P,"Place this dilemma on this mission. Each personnel on this planet who does not have Treachery is attributes -1. At the end of this turn, this dilemma is overcome."
Aggressive Behavior,4,S,"Unless you have 2 Anthropology or 2 Leadership and Weapons>8, randomly select a personnel to be killed, all your other personnel are stopped, and this dilemma is placed on your ship. Damage - This ship is attributes -2."
Alien Abduction,1,S,"Unless you have 2 Engineer and Physics or Medical and Transporters, randomly select three personnel to be stopped."
Antedean Assassins,3,D,"Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Telepathy, your opponent chooses an Anthropology or Telepathy personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Armus Roulette,4,P,"Randomly select four personnel. Unless they have Cunning>22 or one of them has Cunning>7, your opponent chooses one of them to be killed, then the other three are stopped."
Assassin's Blade,3,D,"Unless you have 2 Security or Cunning>26, your opponent chooses a personnel (except an Android or a Shape-shifter) to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Assassination Attempt,4,P,Randomly select two personnel. Each of those personnel who does not have Treachery is killed.
Authenticate Artifacts,2,P,"Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Archaeology, your opponent chooses an Anthropology or Archaeology personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Automated Weapons,3,P,"Unless you have 2 Security or a Hand Weapon, randomly select a personnel to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Berserk Changeling,5,D,"Unless you have 2 Exobiology and 2 Science or 3 Security or two Hand Weapons, randomly select a personnel (except a Changeling) to be killed, then all your other personnel are stopped."
Blended,2,P,"Unless you have Diplomacy or Telepathy, all your personnel are stopped. If you have two or more personnel who have Diplomacy or Telepathy, randomly select all but one of those personnel to be stopped."
Center of Attention,3,D,"Unless you have 3 Security or a Hand Weapon and Cunning>28 or {Quark}, your opponent chooses a Treachery personnel to be killed, then all your other personnel are stopped."
