Name,Unique,Cost,Affiliation,Icons,Keywords,Species,Skills,Integrity,Cunning,Strength,Text
Odo Curzon Odo,Y,4,Bajoran,[Cmd][DS9],Host. Shape-shifter.,Changeling,Anthropology Diplomacy 2 Law Security,6,6,6,This personnel is Cunning +1 for each Diplomacy personnel in your discard pile (limit +4). This personnel is Strength +1 for each Security personnel in your discard pile (limit +4).
Yarka Harbinger of the Prophets,Y,2,Bajoran,,,Bajoran,Anthropology Archaeology Physics,4,5,4,"While each of your non-headquarters missions is a [Baj] mission, each of your Bajorans present is attributes +1."
Annexation Drone,N,3,Borg,[Stf],Drone.,Borg,Geology Navigation Physics Transporters,5,5,5,"When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, score 5 points. When you lose command of this personnel, remove it from the game."
Requisitions Drone,N,2,Borg,[Stf],Drone.,Borg,Archaeology Astrometrics Physics Science,5,5,5,"When you play this personnel, you may examine the top four cards of your deck and take one into hand. Place the remaining cards on the bottom of your deck in any order."
"Enabran Tain ""Retired"" Spymaster",Y,3,Cardassian,[Cmd],,Cardassian,Anthropology 2 Intelligence Security 2 Treachery,2,7,3,"When you play this personnel, if each of your non-headquarters missions requires Intelligence, you may draw up to seven cards, then discard two cards from hand."
Goran,N,2,Cardassian,[Cmd],Infiltrator.,Cardassian,Biology Intelligence Medical Transporters,6,6,6,"When you play this personnel, you may discard an equipment or event card from hand to make this personnel cost -2."
Gelnon Aloof Tactician,Y,3,Dominion,[Cmd],,Vorta,Archaeology Law Leadership Science Treachery,4,6,4,"When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, you may download a Jem'Hadar and place it aboard your [Dom] ship."
Ixtana'Rax Honored Elder,Y,2,Dominion,[Cmd],,Jem'Hadar,Anthropology Astrometrics Honor Leadership Navigation Officer,6,6,8,"When this personnel uses one of his skills to complete a mission, he is killed."
Lamat'Ukan Resourceful Third,Y,3,Dominion,[Stf],Alpha.,Jem'Hadar,Programming Security Transporters,6,5,7,"When an engagement you began ends, you may unstop each of your personnel and ships involved and restore all Range those ships have used this turn. You cannot begin any other engagements this turn."
Jean-Luc Picard Vintner,Y,2,Federation,[Stf][TNG][Fut],,Human,Archaeology Biology Diplomacy Science,6,5,3,"When you play this personnel, if each of your non-headquarters missions requires Biology, you may download up to three [TNG] personnel."
Kira Nerys Starfleet Emissary,Y,2,Federation,[Cmd][DS9],,Bajoran,Leadership Officer Security,6,6,6,"You may play this personnel at [HQ]{Bajor} or [HQ]{Cardassia Prime}. While this personnel is facing a dilemma, you may discard an event from hand to make a non-Bajoran personnel present attributes +2 until the end of that dilemma."
Santos Squad Leader,Y,2,Federation,[Cmd][Maq],,Human,Leadership Medical Navigation Transporters,4,5,6,"While this personnel is attempting a mission, you may destroy your event to add that event's cost to this personnel's attributes until the end of that mission attempt."
Shankar Maquis Soldier,Y,4,Federation,[Cmd][Maq],,Human,Archaeology Biology Geology Officer Treachery,4,6,6,"When you play this personnel, if you command at least three Region: Demilitarized Zone missions, you may make each opponent place his or her hand on the top of his or her deck in the order of his or her choice."
William T. Riker Wistful Admiral,Y,2,Federation,[Cmd][TNG][Fut],Admiral. Commander: U.S.S. Enterprise-D.,Human,Leadership Navigation Officer Security,5,6,5,"While this personnel is attempting a space mission, he is attributes +1 and gains Diplomacy and Law."
Alexander Rozhenko K'mtar,Y,4,Klingon,[Cmd][Fut],High Council Member.,Human/Klingon,2 Diplomacy Honor Programming Transporters,8,5,8,"When you play this personnel, if each of your non-headquarters missions requires Diplomacy, you may download up to two events, then play each of them at cost -3."
Worf Son of Mogh,Y,2,Klingon,[Cmd],,Klingon,2 Honor Officer Physics 2 Security,8,5,8,"When you play this personnel, each opponent draws a card."
Jean-Luc Picard Galen,Y,3,Non-Aligned,[Cmd],Commander: Fortune. Thief.,Human,Anthropology Archaeology Leadership Science,6,6,6,"While an artifact is in your discard pile, each of your {Smuggler} personnel and {Thief} personnel is attributes +1."
Vina Orion Slave Girl,Y,2,Non-Aligned,[AU],,Orion,Honor,6,4,3,Order - This personnel gains any one skill of your choice. She keeps that skill until this order is executed again.
Deanna Troi Major Rakal,Y,2,Romulan,[Cmd],,Betazoid/Human,Anthropology Telepathy,6,5,4,"While this personnel is present with a [Rom] Dissident, she is attributes +1 and gains Intelligence, Leadership and Security."
Mendak Duplicitous Admiral,Y,3,Romulan,[Cmd],Admiral. Commander: Devoras.,Romulan,Exobiology Intelligence Leadership Officer Transporters Treachery,3,7,6,"While each of your non-headquarters missions is not a [Rom] mission, you may attempt each of them using your [Rom] personnel."
Kira Nerys The Intendant,Y,3,Bajoran,[Cmd][AU],,Bajoran,Exobiology Intelligence Leadership Transporters 2 Treachery,2,6,5,Order - Remove a card in your discard pile from the game to download a copy of that card. You may do this only once each turn.
Kira Taban Husband and Father,Y,2,Bajoran,[Stf][Pa],Bajoran Resistance.,Bajoran,Biology Honor Medical Physics,6,5,5,"When you play this personnel, if you have a lower score than each of your opponents, score 5 points."
Dukat Prefect of Bajor,Y,3,Cardassian,[Cmd][Pa],Gul.,Cardassian,Diplomacy Exobiology Leadership Officer 2 Treachery,2,6,6,"When this personnel or a [Car] personnel present is about to be stopped by a dilemma, you may discard a non-[Car] personnel from hand to prevent that. You may do this only once each turn."
Elim Garak First Officer of Terok Nor,Y,2,Cardassian,[Stf][AU],,Cardassian,Biology Officer Programming Security 2 Treachery,2,6,6,"When a personnel at this mission is about to be stopped by a dilemma, you may kill your captive to prevent that."
Borath Subconscious Projection,Y,4,Dominion,[Cmd][AU],Founder.,Vorta,Diplomacy Leadership Medical Programming Treachery,4,6,4,"Order - Stop your Jem'Hadar present to reveal the top card of your deck and an opponent's deck. If they are the same card type, draw yours and discard the opponent's."
Founder Agitator Elusive Assassin,Y,2,Dominion,[Stf],Assassin. Founder. Infiltrator. Shape-shifter.,Changeling,Physics Science Security 2 Treachery,2,6,6,Order - Return this personnel to his owner's hand to return one opponent's non-unique personnel present to his or her owner's hand for each headquarters mission that opponent commands.
James T. Kirk Living Legend,Y,4,Federation,[Cmd][E][Pa],,Human,2 Honor Leadership,7,6,5,"While this personnel is facing a dilemma that has requirements you cannot meet, you may kill this personnel to prevent and overcome that dilemma."
Tasha Yar Tactical Officer,Y,3,Federation,[Stf][TNG][AU],,Human,Engineer Honor Leadership Security,7,5,6,"While this personnel is attempting a mission, you may place her on top of her owner's deck to prevent one of your personnel present from being stopped by dilemmas until the end of this turn."
Worf First Officer,Y,3,Federation,[Cmd][TNG][AU],,Klingon,Honor Leadership Navigation Officer,7,5,8,"While this personnel is facing a dilemma, you may discard two cards from hand to exchange a [TNG] personnel you own present with a [TNG] personnel who has the same cost from your hand."
Korath Duplicitous Tinkerer,Y,3,Klingon,[Cmd][Fut],High Council Member.,Klingon,Diplomacy Engineer Leadership Physics,4,6,7,"When you are about to play a non-Hand Weapon equipment, you may play it at cost +2 and stop this personnel to destroy an opponent's event that has no cards on it."
Worf Regent of the Alliance,Y,3,Klingon,[Cmd][AU],Chancellor.,Klingon,Biology Leadership Officer 2 Treachery,2,5,8,"While this personnel is facing a dilemma, you may discard a [Car] or [Kli] personnel from hand to make this personnel attributes +3 until the end of that dilemma."
Benjamin Sisko Outlaw,Y,3,Non-Aligned,[Cmd][AU],,Human,Acquisition Anthropology Biology Leadership Navigation,5,5,6,"Order - Choose one for this personnel to gain: ""Honor personnel present are Cunning +1""; or ""Treachery personnel present are Cunning +1"". This effect lasts until this order is executed again."
Daniels Temporal Enforcer,Y,3,Non-Aligned,[Stf][Fut],,Alien/Human,Anthropology Archaeology Engineer Intelligence Physics Security,6,6,6,"When this personnel is killed, shuffle him into his owner's deck."
"Miles O'Brien ""Smiley""",Y,4,Non-Aligned,[Cmd][AU],,Human,Engineer Leadership Physics Transporters,5,6,6,"When you play a ship at this mission, if you have played no other ships this turn, it is cost -1 for each of your Engineer personnel at this mission."
The Traveler Transcendent Explorer,Y,2,Non-Aligned,[Stf],,Alien,Anthropology Astrometrics Engineer Honor 2 Physics Science,6,8,3,"When this personnel is stopped by a dilemma, place him on the bottom of his owner's deck."
Tomalak Irate Commander,Y,2,Romulan,[Cmd][AU],Commander: Terix.,Romulan,Diplomacy Exobiology Leadership Officer,4,6,7,"At the start of each of your turns, you may stop your [Rom] personnel present to reveal the top card of each player's deck."
